unit_id,goal_actual,mes_classificado,name,tamanho,condominio,chave,mes,receita_projetada,receita_mensal_real,ocupacao,dias,HOA,Property Management,Utilities,dias_ocupados,adr,revpar,commission_fee_20,despesas_outras_anuais,despesas_anuais,lucro_mensal
341242,6716.0,03.Mar,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Mar,6716.0,6716.0,0.8,31,6000.0,1800.0,10872.0,24.8,270.80645161290323,216.6451612903226,12604.6,18672.0,31276.6,4109.616666666667
341242,7024.0,04.Apr,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Apr,7024.0,7024.0,0.8,30,6000.0,1800.0,10872.0,24.0,292.6666666666667,234.13333333333333,12604.6,18672.0,31276.6,4417.616666666667
341242,3720.0,05.May,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,May,3720.0,3720.0,0.6,31,6000.0,1800.0,10872.0,18.599999999999998,200.00000000000003,120.0,12604.6,18672.0,31276.6,1113.6166666666668
341242,6006.0,06.Jun,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Jun,6006.0,6006.0,0.75,30,6000.0,1800.0,10872.0,22.5,266.93333333333334,200.2,12604.6,18672.0,31276.6,3399.616666666667
341242,6322.0,07.Jul,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Jul,6322.0,6322.0,0.8,31,6000.0,1800.0,10872.0,24.8,254.91935483870967,203.93548387096774,12604.6,18672.0,31276.6,3715.616666666667
341242,5516.0,08.Aug,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Aug,5516.0,5516.0,0.7,31,6000.0,1800.0,10872.0,21.7,254.19354838709677,177.93548387096774,12604.6,18672.0,31276.6,2909.616666666667
341242,4100.0,09.Sep,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Sep,4100.0,4100.0,0.6,30,6000.0,1800.0,10872.0,18.0,227.77777777777777,136.66666666666666,12604.6,18672.0,31276.6,1493.6166666666668
341242,4092.0,10.Oct,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Oct,4092.0,4092.0,0.7,31,6000.0,1800.0,10872.0,21.7,188.57142857142858,132.0,12604.6,18672.0,31276.6,1485.6166666666668
341242,4662.0,11.Nov,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Nov,4662.0,4662.0,0.7,30,6000.0,1800.0,10872.0,21.0,222.0,155.4,12604.6,18672.0,31276.6,2055.616666666667
341242,6188.0,12.Dec,1509 MC - Exquisite 8BR Villa with Pool & Games,SF 8,CHAMPIONS GATE,CHAMPIONS GATE SF 8,Dec,6188.0,6188.0,0.7,31,6000.0,1800.0,10872.0,21.7,285.16129032258067,199.61290322580646,12604.6,18672.0,31276.6,3581.616666666667
345511,4098.0,01.Jan,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Jan,4098.0,4098.0,0.75,31,6000.0,1800.0,8544.0,23.25,176.25806451612902,132.19354838709677,10769.800000000001,16344.0,27113.800000000003,1838.5166666666664
345511,3714.0,02.Feb,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Feb,3714.0,3714.0,0.75,28,6000.0,1800.0,8544.0,21.0,176.85714285714286,132.64285714285714,10769.800000000001,16344.0,27113.800000000003,1454.5166666666664
345511,5770.0,03.Mar,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Mar,5770.0,5770.0,0.8,31,6000.0,1800.0,8544.0,24.8,232.66129032258064,186.1290322580645,10769.800000000001,16344.0,27113.800000000003,3510.5166666666664
345511,6460.0,04.Apr,"1520 FD 6BR Luxury Villa Pool, Game Room",SF 6,CHAMPIONS GATE,CHAMPIONS GATE SF 6,Apr,6460.0,6460.0,0.8,30,6000.0,1800.0,8544.0,24.0,269.1666666666667,215.33333333333334,10769.800000000001,16344.0,27113.800000000003,4200.516666666666
